Topic ID,Label,Top Keywords,Representative Examples
0,Smartphones & Tech,"char, mai, dimanche, droit, parti","x président français donne mai communauté scientifique international promettre france recherche priorité innovation culture science horizon limite sit…

lauréat pause programme français accueil chercheur artiste palestinien bloquer gaza tribune monde collectif universitaire patrick boucheron didier fas…

présidence républicains lourde défaite laurent wauquiez recueillir suffrage adhérent parti face bruno retailleau chef député lr essuie sévère revers o…"
1,Cinéma & Culture,"film, festival, astérix, être, the","série citadel honey bunny citadel diana annuler prime video amazon mgm studios mauvais nouveau fan franchise citadel prime video spin off série citade…

jenna ortega trait mercredi netflix mercredi jour parfaire service streaming netflix donne nouveau mercredi addams jeune fille bientôt plateforme sais…

plateforme streaming voir film série astérix obélix netflix pathé studio être heureux astérix netflix nouveau série animer alain chabat astérix obélix…"
2,Appareils Ménagers,"point, prix, acer, qualité, écran","video doorbell wired ring proposer sonnett connectée cher catalogue modèle caméra embarquer cher marché point fort qualité image jour nuit détection m…

taille guêpe poids plum gramme drone dji mini embarquer groupe optique agrémenter capteur mp photo brider format s hdr vidéo point fort compact léger …

point fort système android tv fluide soc performer niveau gestion hdr complet dolby vision lecture multimédia vidéo hd k fluide haut débit gestion aud…"
3,Électronique,"état, être, travail, faire, politique","donald trump jamais aimer fait piétine maquille nier année projet budget consultable page confirmer désamour réalité président républicain attaqu fron…

petit génie tech audacieux partir rien savoir monter empire devenir homme riche histoire elon musk aimer glorifier passé fait arme réussite cach petit…

parking scailquin situer rue éponyme travail commencer commune venir récupérer gestion parking défaillance exploiter priver négociation sibelga infilt…"
4,Économie & Finance,"libre, logiciel, linux, google, wi","chatgpt serre vis génération image openai chatgpt changement cap chatgpt ia openai vouloir mettre fin tendance générer image trop inspiré créateur pre…

galaxy z fold galaxy z flip samsung compte bien revenir nouveau génération surprise année galaxy z flip fe appareil plier venir compléter gamme falloi…

mesure développer intelligence artificiel incruster partout jour rapporter google plancher modèle ia capable analyser communication dauphin nouvelle j…"
5,Politique US,"point, prix, cuisson, faible, lavage","trolley t bar smolt co accessoire fixe trottinette électrique marque xiaomi pouvoir déplacer facilement replier point fort robuste simple monter prati…

petit gabarit petit prix bon concurrent lowepro tahoe bp point fort compact léger qualité fabrication garantie an compartiment tablette dos rembourrer…

perceur visseuse bosch professional gsr fc modèle mettre compacité tête interchangeable montrer efficace bien situation vie bricoleur point fort polyv…"
6,Droite Française,"bruno, retailleau, droite, ministre, lr","thibaud moritz afp politique an long soutien bruno retailleau ministre intérieur largement battre laurent wauquiez week end course tête lr locataire p…

élection particulièrement scruter européen nicușor dan créer surprise dimanche mai élu président voix élection marquer fort taux participation contre …

capture bfmtv politique blagu projet mûremer réfléchir teddy riner surprendre monde lundi mai ouvrir voie candidature élection présidentiel invité mat…"
7,Arnaques & Société,"trump, chine, américain, corée, chinois","devenir groupe bancaire européen ambition clair revolut marge choose france entreprise siège baser lituanie annonce ouverture siège europe ouest paris…

mois malaise installer usine fermer discrètemer chômage repart hausse tension économique géopolitique intensifier dare emploi salarier priver replier …

gros détenteur memecoin trump attendre jeudi participer somptueu dîner offrir président invité attendre jeudi country club chic proximité fleuve potom…"
8,Matériel & GPU,"galaxy, edge, aspirateur, appareil, apple","forme simple éprouvé expérience efficace moderne design brill maturité confortable équiper structure pliable appareil limite fabrication efficace prem…

agir simple robot appareil fonctionnement automatique faire office aspirateur baler fil aspirateur main avérer utile robot pouvoir atteindre endroit l…

scénario presque être confronter imaginer discuter vif voix sujet paire sneaker heure suivre publicité promotion paire basket apparaître feed instagra…"
9,Environnement & Alimentation,"milliard, ia, euro, investissement, france","utilisateur aborder sujet xai orient réponse communiqué entreprise elon musk récemment offrir société spécialiser génération vidéo ia expliqu accessib…

chine deepseek microsoft interdire employé fonds investissement public saoudien pif publier communiqué lundi mai annoncer création entreprise spéciali…

engouement autour centre donnée ia essouffler chine frappé croit bloomberg projet stargate openai exiger milliard dollar construction territoire étasu…"
